Country,Region,Total Cases,Total Cases per 100k pop,New Cases (7 days),New Cases per 100k pop (7 days),New Cases (24 hours),Total Deaths,Total Deaths per 100k pop,New Deaths (7 days),New Deaths per 100k pop (7 days),New Deaths (24 hours)
United States of America,Americas,94152573,28444.658,416281,125.764,76462,1040506,314.35,2590,0.782,624
India,South-East Asia,44516479,3225.822,37843,2.742,6422,528250,38.279,160,0.012,34
Brazil,Americas,34544377,16251.633,53446,25.144,10420,685002,322.264,422,0.199,104
France,Europe,33766090,51916.394,150781,231.83,36147,151062,232.262,217,0.334,38
Germany,Europe,32604993,39204.38,203649,244.868,32168,148728,178.831,50,0.06,8
Republic of Korea,Western Pacific,24264470,47327.591,399931,780.061,71471,27665,53.96,352,0.687,72
The United Kingdom,Europe,23554971,34697.831,2093,3.083,0,189026,278.446,0,0,0
Italy,Europe,22096450,37048.791,109155,183.019,18849,176404,295.774,395,0.662,69
Japan,Western Pacific,20399933,16129.431,638200,504.6,99546,43177,34.138,1337,1.057,192
Russian Federation,Europe,20265004,13886.373,356815,244.504,56126,385727,264.315,658,0.451,99
Türkiye,Europe,16852382,19981.703,22441,26.608,0,101068,119.835,89,0.106,0
Spain,Europe,13374116,28255.604,14885,31.448,0,113279,239.325,376,0.794,0
Viet Nam,Western Pacific,11448034,11761.045,19402,19.932,3107,43132,44.311,7,0.007,0
Australia,Western Pacific,10112229,39655.98,17318,67.914,0,14421,56.553,207,0.812,0
Argentina,Americas,9697763,21457.234,7902,17.484,0,129830,287.261,61,0.135,0
Netherlands,Europe,8401272,48262.134,6862,39.42,0,22620,129.943,9,0.052,0
Iran (Islamic Republic of),Eastern Mediterranean,7540962,8978.089,4745,5.649,646,144243,171.732,158,0.188,22
Mexico,Americas,7059936,5475.673,4301,3.336,0,329767,255.767,24,0.019,0
China,Western Pacific,6978307,474.3,278054,18.899,52154,25428,1.728,298,0.02,47
Indonesia,South-East Asia,6402686,2340.817,17546,6.415,2651,157849,57.709,120,0.044,21
Colombia,Americas,6304317,12389.856,1508,2.964,0,141708,278.498,62,0.122,0
Poland,Europe,6233117,16421.029,30681,80.829,5858,117316,309.067,97,0.256,17
Portugal,Europe,5451460,52947.826,16778,162.958,3085,24944,242.271,42,0.408,11
Ukraine,Europe,5096397,11653.233,23864,54.567,0,108955,249.132,70,0.16,0
Austria,Europe,5002850,56205.078,30193,339.207,6018,20661,232.118,12,0.135,0
Greece,Europe,4838811,45144.205,33829,315.611,0,32894,306.888,137,1.278,0
Malaysia,Western Pacific,4811327,14865.375,13890,42.915,2431,36296,112.142,34,0.105,5
Thailand,South-East Asia,4671309,6692.422,7153,10.248,1125,32591,46.692,108,0.155,13
Israel,Europe,4646872,53686.673,7134,82.421,1112,11667,134.792,2,0.023,0
Chile,Americas,4572350,23918.717,28368,148.398,3855,60830,318.212,182,0.952,8
Belgium,Europe,4504106,39089.863,4547,39.462,0,32605,282.97,27,0.234,0
Canada,Americas,4197701,11122.049,18365,48.659,0,44347,117.5,237,0.628,0
Peru,Americas,4127612,12518.592,8820,26.75,1150,216173,655.629,191,0.579,22
Czechia,Europe,4068411,38044.083,14071,131.579,2625,40932,382.759,38,0.355,2
Switzerland,Europe,4053997,46842.01,7840,90.587,0,13550,156.564,1,0.012,0
South Africa,Africa,4014986,6769.642,2174,3.666,262,102129,172.199,0,0,0
Philippines,Western Pacific,3911487,3569.491,15009,13.697,1709,62416,56.959,249,0.227,34
Denmark,Europe,3283706,56394.293,5366,92.156,869,6987,119.995,24,0.412,4
Romania,Europe,3247140,16799.458,13673,70.739,2254,66882,346.022,72,0.373,8
Sweden,Europe,2573548,24919.156,931,9.015,0,20006,193.714,0,0,0
Iraq,Eastern Mediterranean,2458509,6112.274,0,0,0,25348,63.019,0,0,0
Serbia,Europe,2324719,33561.686,20680,298.555,2870,16846,243.204,67,0.967,9
Hungary,Europe,2070443,21192.871,11596,118.696,0,47409,485.274,42,0.43,0
Bangladesh,South-East Asia,2016583,1224.477,2506,1.522,438,29337,17.814,7,0.004,1
Singapore,Western Pacific,1867168,31915.536,14882,254.378,2426,1604,27.417,3,0.051,2
Slovakia,Europe,1838393,33683.323,1962,35.948,347,20426,374.248,47,0.861,5
Georgia,Europe,1762206,44174.698,0,0,0,16900,423.646,0,0,0
New Zealand,Western Pacific,1745181,36190.309,7011,145.389,0,2955,61.279,74,1.535,0
Jordan,Eastern Mediterranean,1742256,17075.695,3389,33.215,0,14114,138.33,0,0,0
Ireland,Europe,1660635,33450.601,1601,32.249,259,7901,159.152,14,0.282,14
Pakistan,Eastern Mediterranean,1571530,711.446,1068,0.483,235,30604,13.855,10,0.005,4
Kazakhstan,Europe,1482094,7893.258,1232,6.561,181,19047,101.44,4,0.021,0
Norway,Europe,1461201,27222.715,466,8.682,47,4038,75.229,34,0.633,0
Finland,Europe,1277473,23120.461,4819,87.217,94,5858,106.022,1,0.018,0
Morocco,Eastern Mediterranean,1264711,3426.421,114,0.309,21,16276,44.096,1,0.003,0
Bulgaria,Europe,1250250,17985.373,3585,51.572,544,37663,541.798,31,0.446,5
Lithuania,Europe,1232367,44106.203,7786,278.66,1525,9301,332.881,5,0.179,2
Croatia,Europe,1222007,30112.304,4138,101.967,1021,16817,414.399,56,1.38,4
Lebanon,Eastern Mediterranean,1213200,17774.665,1545,22.636,217,10650,156.034,9,0.132,2
Slovenia,Europe,1149364,54839.705,13044,622.37,2528,8191,390.818,3,0.143,0
Tunisia,Eastern Mediterranean,1145163,9689.482,339,2.868,0,29243,247.432,5,0.042,0
Guatemala,Americas,1112550,6209.962,6397,35.706,0,19684,109.871,100,0.558,0
Cuba,Americas,1110948,9808.296,158,1.395,21,8530,75.309,0,0,0
Bolivia (Plurinational State of),Americas,1106538,9479.448,1680,14.392,219,22218,190.336,7,0.06,0
Costa Rica,Americas,1105792,21707.232,8163,160.244,0,8913,174.967,26,0.51,0
United Arab Emirates,Eastern Mediterranean,1021191,10325.071,2810,28.411,402,2342,23.68,0,0,0
Ecuador,Americas,999837,5667.029,2264,12.832,112,35884,203.389,22,0.125,0
Nepal,South-East Asia,999121,3429.068,689,2.365,75,12015,41.237,5,0.017,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Panama,Americas,984234,22810.826,2412,55.901,0,8487,196.697,7,0.162,0
Uruguay,Americas,982846,28293.679,1660,47.787,0,7462,214.812,7,0.202,0
Mongolia,Western Pacific,981618,29942.989,981,29.924,0,2130,64.973,1,0.031,0
Puerto Rico,Americas,943972,32996.173,9662,337.731,1068,5053,176.626,46,1.608,7
Latvia,Europe,912002,47806.99,7019,367.935,1419,5965,312.684,9,0.472,1
Azerbaijan,Europe,818634,8073.971,2045,20.169,371,9873,97.375,35,0.345,9
Saudi Arabia,Eastern Mediterranean,814829,2340.53,741,2.128,107,9322,26.777,12,0.034,2
Paraguay,Americas,715806,10035.782,237,3.323,0,19530,273.816,36,0.505,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,702768,13775.945,177,3.47,177,5707,111.871,1,0.02,1
Bahrain,Eastern Mediterranean,674909,39663.782,1843,108.311,288,1518,89.211,2,0.118,0
Sri Lanka,South-East Asia,670519,3131.328,178,0.831,0,16737,78.162,13,0.061,0
Kuwait,Eastern Mediterranean,657745,15401.805,0,0,0,2563,60.015,0,0,0
Dominican Republic,Americas,641677,5915.213,535,4.932,0,4384,40.413,0,0,0
Myanmar,South-East Asia,617739,1135.345,1529,2.81,0,19444,35.736,2,0.004,0
Estonia,Europe,599596,45117.143,640,48.157,0,2661,200.229,4,0.301,0
Republic of Moldova,Europe,583183,14456.826,4073,100.968,0,11808,292.715,25,0.62,0
Cyprus,Europe,579899,65303.574,1869,210.472,0,1173,132.094,1,0.113,0
Venezuela (Bolivarian Republic of),Americas,543873,1912.625,750,2.638,41,5809,20.428,6,0.021,0
Egypt,Eastern Mediterranean,515348,503.592,13,0.013,0,24796,24.23,0,0,0
Libya,Eastern Mediterranean,506909,7377.201,31,0.451,20,6437,93.68,0,0,0
Ethiopia,Africa,493367,429.151,62,0.054,0,7572,6.586,0,0,0
Réunion,Africa,474623,53012.023,2572,287.274,2572,884,98.737,5,0.558,5
Honduras,Americas,455669,4600.576,831,8.39,0,10989,110.948,0,0,0
Armenia,Europe,439302,14825.086,2575,86.898,0,8669,292.552,7,0.236,0
Qatar,Eastern Mediterranean,438499,15220.095,4968,172.437,790,682,23.672,1,0.035,0
Oman,Eastern Mediterranean,397993,7793.659,0,0,0,4628,90.627,0,0,0
Bosnia and Herzegovina,Europe,397602,12119.001,765,23.317,135,16104,490.854,18,0.549,2
North Macedonia,Europe,341889,16410.304,628,30.143,141,9516,456.758,8,0.384,1
Kenya,Africa,338308,629.161,49,0.091,1,5675,10.554,1,0.002,0
Zambia,Africa,333229,1812.608,407,2.214,0,4017,21.851,1,0.005,0
Albania,Europe,330149,11472.27,779,27.069,104,3586,124.609,2,0.069,0
Botswana,Africa,326107,13867.293,0,0,0,2779,118.174,0,0,0
Luxembourg,Europe,288527,46082.625,815,130.169,198,1126,179.841,2,0.319,0
Montenegro,Europe,277805,44232.098,1015,161.608,169,2778,442.313,0,0,0
Kosovo[1],Europe,271921,15143.184,134,7.462,19,3189,177.594,0,0,0
Algeria,Africa,270570,617.021,81,0.185,9,6879,15.687,0,0,0
Nigeria,Africa,264617,128.368,318,0.154,0,3154,1.53,0,0,0
Mauritius,Africa,260947,20518.444,622,48.908,0,1024,80.518,0,0,0
Zimbabwe,Africa,256939,1728.724,105,0.706,0,5596,37.651,0,0,0
Uzbekistan,Europe,244006,729.046,100,0.299,13,1637,4.891,0,0,0
Mozambique,Africa,230184,736.461,39,0.125,4,2222,7.109,0,0,0
Brunei Darussalam,Western Pacific,224610,51341.893,0,0,0,130,29.716,0,0,0
Martinique,Americas,219529,58499.727,3947,1051.79,0,1036,276.072,14,3.731,0
Lao People's Democratic Republic,Western Pacific,215157,2957.257,508,6.982,93,757,10.405,0,0,0
Kyrgyzstan,Europe,205920,3156.253,85,1.303,0,2991,45.845,0,0,0
Iceland,Europe,205284,56375.95,234,64.262,0,213,58.495,0,0,0
El Salvador,Americas,201785,3110.987,0,0,0,4228,65.184,2,0.031,0
Afghanistan,Eastern Mediterranean,196663,505.192,1576,4.048,259,7791,20.014,6,0.015,0
Guadeloupe,Americas,191997,47984.375,0,0,0,986,246.424,0,0,0
Maldives,South-East Asia,184966,34218.491,42,7.77,0,308,56.98,0,0,0
Trinidad and Tobago,Americas,181567,12973.816,1257,89.819,146,4176,298.395,14,1,2
Uganda,Africa,169001,369.474,27,0.059,0,3628,7.932,0,0,0
Ghana,Africa,168616,542.646,0,0,0,1459,4.695,0,0,0
Namibia,Africa,166645,6558.49,0,0,0,4077,160.455,0,0,0
Jamaica,Americas,150909,5096.268,551,18.608,0,3286,110.97,17,0.574,1
Cambodia,Western Pacific,137739,823.849,52,0.311,4,3056,18.279,0,0,0
Rwanda,Africa,132474,1022.79,7,0.054,0,1466,11.319,0,0,0
Cameroon,Africa,121652,458.271,0,0,0,1935,7.289,0,0,0
Malta,Europe,114348,22222.309,142,27.596,25,803,156.054,1,0.194,0
Angola,Africa,103131,313.79,0,0,0,1917,5.833,0,0,0
Barbados,Americas,101979,35486.385,355,123.532,104,558,194.171,12,4.176,2
French Guiana,Americas,93837,31417.025,102,34.15,0,409,136.935,1,0.335,0
Democratic Republic of the Congo,Africa,92750,103.56,0,0,0,1422,1.588,0,0,0
Senegal,Africa,88230,526.937,63,0.376,0,1968,11.754,0,0,0
Malawi,Africa,87842,459.186,0,0,0,2675,13.983,0,0,0
Côte d’Ivoire,Africa,86973,329.715,103,0.39,32,822,3.116,2,0.008,0
Suriname,Americas,81078,13820.93,21,3.58,21,1384,235.923,0,0,0
French Polynesia,Western Pacific,76578,27260.883,36,12.816,18,649,231.036,0,0,0
New Caledonia,Western Pacific,74222,25997.38,97,33.976,0,314,109.983,0,0,0
Eswatini,Africa,73374,6324.451,6,0.517,0,1422,122.569,0,0,0
Guyana,Americas,71209,9053.311,95,12.078,17,1279,162.608,0,0,0
Belize,Americas,68612,17255.324,160,40.239,139,680,171.014,0,0,0
Fiji,Western Pacific,68207,7608.61,13,1.45,0,878,97.942,0,0,0
Madagascar,Africa,66652,240.699,12,0.043,0,1410,5.092,0,0,0
Sudan,Eastern Mediterranean,63275,144.301,0,0,0,4961,11.314,0,0,0
Mauritania,Africa,62778,1350.164,6,0.129,0,993,21.356,0,0,0
Cabo Verde,Africa,62346,11213.572,15,2.698,0,410,73.743,0,0,0
Bhutan,South-East Asia,61419,7959.871,70,9.072,0,21,2.722,0,0,0
